Papyri.info URL	Main identifier	Other identifiers	Title	Location	Date	Languages	Image URL	Direct image URLs	Filesystem identifier
https://papyri.info/ddbdp/rom.mil.rec;1;54	rom.mil.rec 1 54	P.Dura 85,P.CtYBR inv. DP 31(A),yale 4400314100	Morning Report (?)	Dura - Europos	230 CE	la, la	http://hdl.handle.net/10079/digcoll/2771677	https://imageserver.library.yale.edu/digcoll:2772901/a/b/15000.jpg	rom.mil.rec_1_54
https://papyri.info/ddbdp/rom.mil.rec;1;55	rom.mil.rec 1 55	P.Dura 87,P.CtYBR inv. DP 65(A),yale 4400654100	Morning Report (?)	Dura - Europos	230 CE	la, la	http://hdl.handle.net/10079/digcoll/2771772	https://imageserver.library.yale.edu/digcoll:2772857/a/b/15000.jpg	rom.mil.rec_1_55
https://papyri.info/ddbdp/rom.mil.rec;1;56	rom.mil.rec 1 56	P.Dura 84,P.CtYBR inv. DP 67(A),yale 4400674100	Morning Report (?)	Dura - Europos	233 CE	la, la	http://hdl.handle.net/10079/digcoll/2771537	https://imageserver.library.yale.edu/digcoll:2772860/a/b/15000.jpg	rom.mil.rec_1_56
https://papyri.info/ddbdp/rom.mil.rec;1;57	rom.mil.rec 1 57	P.Dura 86,P.CtYBR inv. DP 54,yale 4400540000	Fragment	Dura - Europos	240 CE	la, la	http://hdl.handle.net/10079/digcoll/2771451	https://imageserver.library.yale.edu/digcoll:2772664/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772660/a/b/15000.jpg	rom.mil.rec_1_57
https://papyri.info/ddbdp/rom.mil.rec;1;60	rom.mil.rec 1 60	P.Dura 90,P.CtYBR inv. DP 38(B),yale 4400384200	Tabulation	Dura - Europos	225 CE - 235 CE	la, la	http://hdl.handle.net/10079/digcoll/2771668	https://imageserver.library.yale.edu/digcoll:2773893/a/b/15000.jpg	rom.mil.rec_1_60
https://papyri.info/ddbdp/rom.mil.rec;1;61	rom.mil.rec 1 61	P.Dura 91,P.CtYBR inv. DP 19(A),yale 4400194100	Tabulation or Morning Report	Dura - Europos	225 CE - 235 CE	la, la	http://hdl.handle.net/10079/digcoll/2771431	https://imageserver.library.yale.edu/digcoll:2773863/a/b/15000.jpg	rom.mil.rec_1_61
https://papyri.info/ddbdp/rom.mil.rec;1;62	rom.mil.rec 1 62	P.Dura 92,P.CtYBR inv. DP 27 qua,yale 4400270000	Tabulation	Dura - Europos	225 CE - 235 CE	la, la	http://hdl.handle.net/10079/digcoll/2771452	https://imageserver.library.yale.edu/digcoll:2773866/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2773867/a/b/15000.jpg	rom.mil.rec_1_62
https://papyri.info/ddbdp/rom.mil.rec;1;66	rom.mil.rec 1 66	P.Dura 95,P.CtYBR inv. DP 34(A) fol,yale 4400344100	Strength Report	Dura - Europos	250 CE - 251 CE	la, la	http://hdl.handle.net/10079/digcoll/2771854	https://imageserver.library.yale.edu/digcoll:2772924/a/b/15000.jpg	rom.mil.rec_1_66
https://papyri.info/ddbdp/rom.mil.rec;1;83	rom.mil.rec 1 83	P.Dura 97,P.CtYBR inv. DP 3(B) fol,yale 4400034200	List of Men and Mounts	Dura - Europos	251 CE	la, la	http://hdl.handle.net/10079/digcoll/2771437	https://imageserver.library.yale.edu/digcoll:2772618/a/b/15000.jpg	rom.mil.rec_1_83
https://papyri.info/ddbdp/rom.mil.rec;1;88	rom.mil.rec 1 88	P.Dura 63,P.CtYBR inv. DP 10(Second text) qua,yale 4400100032	Fragmentary Correspondence	Dura - Europos	211 CE	la, la	http://hdl.handle.net/10079/digcoll/2771449	https://imageserver.library.yale.edu/digcoll:2772794/a/b/15000.jpg	rom.mil.rec_1_88
